"","ID","F.1","F.2","F.3","F.4","W.1","W.2","W.3","W.4","logFC","logCPM","PValue","FDR"
"9467","PmetTSAr1.1-000356",524.862721929236,347.055785012085,865.794760050208,995.854792126386,773.057033746349,448.169756385925,615.708836468631,402.85817237525,-0.287406527365014,9.28012200827005,0.563282192693771,0.990989090838189
"9468","PmetTSAr1.1-000370",12.8866550652703,12.6202103640758,14.0923955671589,12.6996814012392,14.2500282539707,13.3536379790535,17.518670899009,14.1260503436676,0.179771978198674,3.80806783841449,0.563396102717778,0.990989090838189
"9469","PmetTSAr1.1-000687",128.687569332352,116.366634530727,118.281931945434,125.95039831641,111.928512690324,113.891324230086,94.1793209984321,95.8613356985127,-0.23453932188966,6.82273422765891,0.561794407722271,0.990989090838189
"9470","PmetTSAr1.1-000972",105.419997686725,95.4218253114748,106.906579225414,97.982560623793,87.0959487192588,77.7260893913394,88.5417336715329,92.812346614434,-0.229019074726743,6.55528208373071,0.562557411078584,0.990989090838189
"9471","PmetTSAr1.1-001289",7.11450748395129,2.51811709142358,5.32540398039167,2.28308879123401,3.61150028440514,3.10404377360214,3.87254830399147,4.22382891464121,-0.217794762837653,2.0219948797652,0.563441950298449,0.990989090838189
"9472","PmetTSAr1.1-001502",71.5477828103026,61.9456804490201,91.2564124258954,128.804259305452,77.12932777935,80.184325399964,73.1569159196212,68.5602958263947,-0.241472450426677,6.35095952978729,0.559888577598864,0.990989090838189
"9473","PmetTSAr1.1-001702",35.3488107693177,36.6756348139105,36.1910107238863,39.8589251469605,34.939165542152,38.2068206764183,25.5008623011139,31.9724268174497,-0.18077500289154,5.12495705827451,0.562378256829068,0.990989090838189
"9474","PmetTSAr1.1-001906",5.63791159105574,4.17711188106735,12.7882150005324,10.7019787089094,10.0226131923801,2.14574838040953,11.0644237256899,4.02802227621413,-0.288957055272622,2.93011654578334,0.563608439461437,0.990989090838189
"9475","PmetTSAr1.1-002099",29.2187005472968,32.7651470954645,40.4658248033843,41.8566278392902,34.015293376374,29.1446794581838,22.9191634317863,40.4480570236502,-0.18970007506969,5.08368008427038,0.561723255789079,0.990989090838189
"9476","PmetTSAr1.1-002115",103.182731182338,93.0814576617988,86.2208263491985,65.5436740483431,64.7270438569355,85.9132652505719,71.4182207627271,74.4624673561251,-0.231072106148512,6.33321751243304,0.562933076992231,0.990989090838189
"9477","PmetTSAr1.1-002229",175.580675264307,163.322112059038,156.936394850726,149.970394974184,144.963941648448,143.390156333581,125.765616348675,132.980679868903,-0.239295512584447,7.22082752302263,0.561630062407917,0.990989090838189
