"","ID","F.1","F.2","W.3","W.4","F.3","F.4","W.1","W.2","logFC","logCPM","PValue","FDR"
"7669","PmetTSAr1.1-007663",11.9917484635154,10.3390925283156,20.3638084284722,13.7903818206498,13.5489869977312,11.2251865569006,22.8728351345659,12.8953227910049,0.100210938936062,3.87731866036155,0.787302817464457,1
"7670","PmetTSAr1.1-007664",13.2446177059722,13.4793326658556,10.4585148073783,14.6295531281944,14.5995768986248,20.3575417218366,12.8782180684214,16.436849244108,0.310110327596477,3.86465641797569,0.351040763562068,1
"7671","PmetTSAr1.1-007665",6.44332753263513,7.64322599514452,6.7176858334546,4.81124882992244,6.59335730905636,7.37247422169316,5.06729884866147,6.54140768396692,-0.00376266571559696,2.69093789649677,0.99570697841225,1
"7672","PmetTSAr1.1-007666",4.29555168842342,3.94011262540396,4.84727134649273,4.47558030690459,3.00686075083339,3.04411838831202,4.03144217794062,4.37482679500973,-0.27431553293988,2.02417558904891,0.370452720978536,1
"7673","PmetTSAr1.1-007667",3.57962640701952,3.49573902103509,3.92523603601857,3.83221563778706,2.97063351287155,3.61489058612052,3.83546929429073,4.02067414969941,-0.0367358331003703,1.89626900795152,0.909427443906662,1
"7674","PmetTSAr1.1-007671",6.84603550342482,8.50234829692433,5.69027505892624,8.13996168318273,6.41222111924712,4.89912803118965,6.01916714067523,11.082894547358,-0.034083762674972,2.8615858895719,0.923854637210129,1
"7675","PmetTSAr1.1-007672",12.0364937936031,10.190967993526,10.9590482616357,10.1539728212898,11.7738523376006,9.84582041219668,11.8423613977006,11.5412097354066,0.0555771863825236,3.47305478758188,0.867967529012514,1
"7676","PmetTSAr1.1-007673",14.5869776086045,12.175836759707,11.2224869217712,11.8043430594609,13.2953963319983,11.4154439561701,12.3462916699431,12.6661651969805,-0.000691446568100002,3.64371661332007,0.999044301169671,1
"7677","PmetTSAr1.1-007674",36.2884627011603,2.31074274271811,32.9034886509207,7.74834840632857,14.4184407088155,35.6732623630314,18.0015091695543,1.5624381410749,-0.186770841598001,4.22093467316864,0.804128176888549,1
"7678","PmetTSAr1.1-007675",9.9782086095669,9.30222078478829,5.29511706872303,6.0420334143212,7.96999235160658,7.70542467041479,9.15473327907348,6.16642253010895,0.0194481584212318,2.95555885231592,0.961328930152292,1
"7679","PmetTSAr1.1-007676",19.6431999085196,17.5083200121334,21.3912192030005,18.9652715505082,21.0842524937956,20.7380565203756,19.0653619665108,19.3534004407811,0.0497043742271527,4.30587433401706,0.873721198946038,1
"7680","PmetTSAr1.1-007677",33.380016245457,16.7380724312273,26.1594589514526,18.4617687659814,26.5907926639965,30.8692630314765,16.6576951102407,11.4578797012159,-0.147726627102325,4.49734696365953,0.705411400490589,1
"7681","PmetTSAr1.1-007678",6.75654484324934,7.05072785598603,10.7219534675138,9.0630501214818,9.05680949046203,8.70427601657967,9.46269066766617,7.81219070537451,0.0587204068985532,3.1113055927647,0.861232031098582,1
"7682","PmetTSAr1.1-007679",14.497486948429,14.7828285720043,29.0836280789564,17.4547631969279,22.0623879187655,31.6302926285545,29.5919054311336,19.2284053894951,0.43368008564248,4.48225895169998,0.222868637449783,1
"7683","PmetTSAr1.1-007680",12.4839470944806,6.75447878640679,20.0476820363096,7.35673512947442,22.3159785844984,42.7603504858204,12.0663304075862,5.291457171107,0.819532813285186,4.015221102325,0.126418146775489,1
"7684","PmetTSAr1.1-007681",38.7494558559863,33.5650195833285,24.736890186721,42.2103167694939,31.95242388235,25.2091054032089,28.4160681292342,54.8728275145506,0.0133075843548357,5.13056112133633,0.972400268613702,1
"7685","PmetTSAr1.1-007682",19.1062559474667,19.2858144296088,13.040213676706,17.5386803276824,18.1860734568478,28.3483524911557,14.6979662737418,17.7284647740632,0.194153911032523,4.21286943407059,0.571646090494124,1
"7686","PmetTSAr1.1-007683",4.7877503193886,5.83610667071113,5.98005758507527,6.18189529891197,4.70954093504025,7.18221682242366,6.691074170332,6.56224019251459,0.14014704075006,2.59784575544416,0.666974207046278,1
"7687","PmetTSAr1.1-007684",5.41418494061702,6.33973008899584,5.58489959487206,6.74134283727504,6.01372150166679,7.70542467041479,7.39097732622447,7.29137799168288,0.23699978532801,2.72723085778802,0.459523006233384,1
"7688","PmetTSAr1.1-007685",4.34029701851116,3.19948995145585,30.1110388534847,2.54548629955199,15.2154399439762,37.9563511542655,34.2672585124952,0.999960410287937,1.13602838767787,4.01142380086296,0.168992545190168,1
"7689","PmetTSAr1.1-007686",2.28201183447494,1.59974497572792,18.9412396637406,1.70631499200738,9.38285463211866,11.7959587547091,26.0363973991998,0.458315188048638,0.956689301029599,3.1839895179072,0.264575215797351,1
"7690","PmetTSAr1.1-007687",11.9022578033399,19.3450642435247,1.42256876473156,9.70641479059933,8.62208263491985,4.70887063192015,2.96758938098407,45.6023612108395,0.548275687495621,3.71364328934471,0.462908195380904,1
