"","ID","U.1","U.3","R.1","R.2","U.2","U.4","R.3","R.4","logFC","logCPM","PValue","FDR"
"350","PmetTSAr1.1-007547",6.61979724015261,6.83386630484085,5.69023035927903,9.25780449951364,17.7768436435255,10.6711813939118,14.7144789262917,13.694738888271,1.0012263772856,3.41997699486776,0.00172920216889277,0.0854275277209283
"351","PmetTSAr1.1-015023",15.0920480289899,18.0369258209734,14.5390207908697,36.751619875586,48.7217196155885,28.6383142839806,55.3169983164871,53.2271437810421,1.13913553904405,5.0803768464439,0.00173927456000498,0.0856803316724959
"352","PmetTSAr1.1-027781",1.41658212546476,1.68045892741988,1.01266811478695,3.51050975988269,4.52102443279785,2.96611112226942,5.35071960956063,5.12097884773875,1.23993873260263,1.69639006430247,0.00176578701563472,0.0867392707026705
"353","PmetTSAr1.1-000421",52.4407806061472,55.0910451705818,23.7977006974932,155.021625679775,414.441870820168,116.223825469154,161.229771764555,234.478758755553,1.6938389154148,7.24431586673919,0.0017946471139557,0.0879072046668784
"354","PmetTSAr1.1-019013",4.79458565541917,7.39401928064748,4.19533933268878,23.5173087454088,22.7806959283698,13.6031992848908,36.4321055768614,51.4037649488927,1.6389151474982,4.36121439007846,0.00184008433453774,0.0898782435833109
"355","PmetTSAr1.1-012275",56.2001716314191,44.8122380645302,51.453184689413,196.619613011483,348.689496059671,100.06363383748,277.647266799039,383.336302988686,1.66859044749578,7.51084579107223,0.0018550600175724,0.0903544866587166
"356","PmetTSAr1.1-016154",32.8538085252018,37.0541193496084,30.3800434436084,45.7919591687353,90.7277427436229,51.9921777179409,60.5103438198842,94.3501557401563,1.02647106821836,5.79448992368929,0.00187665303427646,0.0911494595945904
"357","PmetTSAr1.1-000334",513.047907093803,651.68197205343,284.704407128673,140.886387266088,2963.11452800859,855.944664778114,877.399985388321,637.135118306162,1.74576925437157,9.75742164072698,0.00190212810618947,0.0921280030367568
"358","PmetTSAr1.1-000276",55.4101546768329,43.439863273804,51.2361843791015,200.689319016302,356.283061369128,97.8475738036003,284.729101576399,396.720679522549,1.6948333516585,7.53781347336913,0.00191704750101931,0.0925912523467176
"359","PmetTSAr1.1-000550",40.1001709362331,23.078302603233,31.199822393674,101.369852623869,167.760731865567,62.9020117308859,139.826893326312,187.652838534184,1.51167930570449,6.55875902825541,0.00194181342243602,0.093028788287263
"360","PmetTSAr1.1-003249",9.94331684220453,12.9395337411331,10.6089040596728,27.7734134985409,29.7597530624946,16.6374968697411,60.7070614525886,48.1449602276044,1.34166057596549,4.76049647960604,0.00193230833994147,0.093028788287263
"361","PmetTSAr1.1-005935",4.27698834034551,5.32145327016296,3.11033778113134,9.25780449951364,20.5421304325184,6.85273948938106,12.4718979134612,13.4231718281637,1.27870776552436,3.23954524670345,0.00194224698234353,0.093028788287263
"362","PmetTSAr1.1-018550",8.17258918537359,9.77466942782565,9.35512448898417,6.55502264898449,4.30155722732223,4.97761176840615,4.24910086641579,3.72434825290091,-0.971847397462755,2.69334734572476,0.00194795929700696,0.0930446524987497
"363","PmetTSAr1.1-007766",8.4177668609348,4.90133853830799,9.66856938165632,6.43075681677625,3.64315561089536,3.03429758485032,4.79991023798821,2.17253648085886,-1.10858642203489,2.45002484983452,0.00198338473556888,0.0942392043582202
"364","PmetTSAr1.1-016885",8.39052489698355,8.37428698830908,9.81323625519732,4.25610475313211,2.72139334789774,5.86403578195793,1.06227521660395,1.35783530053679,-1.48203483836379,2.41129361671698,0.0019838685088423,0.0942392043582202
"365","PmetTSAr1.1-002749",65.7348590143549,68.2266324532472,56.1789692250854,111.652850239101,233.074172215113,137.293442406654,159.459313070215,145.676330100447,1.16240715651322,6.9331525359457,0.00203220630099275,0.095746264715165
"366","PmetTSAr1.1-005982",6.89221687966506,10.3068147548419,4.26767276945927,12.3023173886154,28.3990563885457,11.5576054074636,18.3340833680533,19.1648753847192,1.19777012675291,3.80146916887268,0.00202968593196267,0.095746264715165
"367","PmetTSAr1.1-021137",6.48358742039638,6.04965213871158,5.13567401070523,17.9564127540902,77.7791776205611,6.92092595196197,22.1504054425194,18.8933083246119,1.81928532932132,4.3357919263781,0.00202736755936982,0.095746264715165
"368","PmetTSAr1.1-015142",128.41861806617,107.969486086727,75.6125525707587,442.417429119375,466.631172282271,240.868679067051,547.386484763361,1624.94090179953,1.93255881814616,8.82754852750989,0.00204658828313448,0.0961618424012998
"369","PmetTSAr1.1-001734",18.3883256670906,20.2775377241999,16.0821341086403,26.779286840875,32.2177857638216,27.3768647262338,60.3923132402615,46.1276049239498,1.02693458934899,4.95431635003354,0.00208458263053398,0.0976816213131788
"370","PmetTSAr1.1-024703",5.61184457395653,4.39720086008202,4.55700651654126,2.70278185052915,2.15077861366111,3.06839081614077,0.78687053081774,0.814701180322073,-1.33568910414916,1.63024079076688,0.00210114617894617,0.0981916718382655
"371","PmetTSAr1.1-005796",2.17935711609962,96.6263883266432,3.15856007231167,2.01931977338385,3.02864743556361,3.06839081614077,4.95728434415176,2.52169412956832,-2.93574087752353,3.88651551645559,0.00211931700055071,0.0987738820930523
"372","PmetTSAr1.1-004986",2.3428088998071,2.3246348495975,1.3261130074591,3.94544017261152,6.40844239988822,3.44341636033576,7.51461356930941,5.12097884773875,1.17918348897795,2.03436503681786,0.00213620627690001,0.0992933944459086
"373","PmetTSAr1.1-014102",57.0991564418101,51.2539972863064,37.7098317030187,90.248060641232,219.906139886575,79.7440679883697,126.489437828952,140.98209949002,1.26295501718472,6.65058053698963,0.00214364619013578,0.099372081162568
